# angle muX muX_err sigmaX sigmaX_err muY muY_err sigmaY sigmaY_err amplitude amplitude_err p0 p1 p2 p3 nbkg
0 428.429 0.806658 90.7068 0.591567 56.6722 0.535368 56.6882 0.357272 7233.92 132.331 0.000999789 -1.42804e-06 -1.57985e-06 -1.18249e-11 7409.6
15 449.348 0.320869 50.7111 0.00678103 55.2558 2.64793 113.669 0.0123717 1926.2 17.46 0.000717742 -1.03754e-06 -6.53032e-06 9.35079e-09 1935.86
30 429.51 0.88509 34.0792 0.735461 66.5071 0.013937 39.5486 1.16434 1490 0.23854 0.105373 0.000729055 0.00235173 -1.07508e-05 1490
45 399.195 0.496606 31.8708 0.401529 88.5843 0.0139003 26.9626 0.316599 2380 0.175296 3.57002e-06 0.00231974 0.0143277 -4.14811e-05 2380
60 353.474 1.41782 32.4789 0.0507237 131.237 1.11572 26.6831 0.0392081 1030 0.0263078 0.000987205 -1.58147e-06 -1.22971e-06 2.81997e-14 1030
75 301.866 0.000293111 86.659 0.000584458 158.868 0.000158901 77.4718 0.000512802 1549.31 0.000216046 0.000994637 -1.67376e-06 -1.19708e-06 9.85878e-14 1550
90 269.418 0.438863 27.2549 0.291676 210.766 0.43581 27.2317 0.320763 3069.96 0.207071 0.00100051 -2.16825e-06 -6.00635e-07 6.74535e-10 3070
105 236.784 1.57494 25.4186 0.0556717 242.681 0.860196 25.1898 0.055417 900 0.4556 0.00108707 -2.08187e-06 -1.09904e-06 -6.503e-10 899.993
120 201.986 2.33615 22.7394 0.0894969 269.953 1.38455 22.8735 0.0931306 2090 3.64774 0.0015478 7.4432e-07 -4.61461e-07 -1.43675e-08 2090
135 193.428 0.584006 22.5345 0.476577 289.908 0.601077 22.9685 0.512971 1010 0.33605 0.00147509 -5.3278e-07 -2.58031e-06 -3.29203e-09 1010
150 182.69 1.35753 27.2567 0.0569223 300.296 0.811629 28.2392 0.0616333 2450 0.764513 0.00116787 3.05749e-06 -2.01403e-06 -9.84591e-09 2450
165 348 0 20 0 926 0 20 0 1121.5 0 0.001 0 0 0 2.02945e-07
