# angle muX1 muX1_err sigmaX1 sigmaX1_err muY1 muY1_err sigmaY1 sigmaY1_err muX2 muX2_err sigmaX2 sigmaX2_err muY2 muY2_err sigmaY2 sigmaY2_err amp1 amp1_err amp2 amp2_err
0 1159.18 0.56542 38.039 0.388907 94.156 0.52062 34.0598 0.365557 1228.29 0.554302 36.9969 0.41221 34.0001 0.332501 21.3095 0.249411 1710 0.110445 1710 0.11295
15 1216.87 1.39353 33.9674 1.07726 48.0225 1.00677 27.7451 0.78102 1138.05 1.25464 34.3184 0.923709 109.657 1.30383 31.1368 1.02737 280 0.126305 280 0.125631
30 1067.52 1.41245 38.2243 0.957609 187.12 1.14753 32.755 0.766246 983.083 1.19034 30.0948 0.836953 265.312 1.42478 36.1466 0.971188 190 0.0980057 190 0.109447
45 697.345 0.904586 32.7895 0.626703 543.003 1.00277 37.9126 0.673771 787.296 0.960384 34.1863 0.677697 467.189 0.82096 31.3635 0.561226 360 0.105153 360 0.104497
60 658.433 1.27771 31.8887 0.861593 585.003 1.38155 34.8539 0.917048 571.629 1.19433 31.3974 0.811498 667.226 1.05172 28.0636 0.719243 240 0.177671 240 0.157911
75 518.714 1.12802 34.4538 0.736931 719.174 1.11856 32.7521 0.712065 442.942 0.995427 32.3773 0.688617 796.183 0.954757 31.5424 0.673802 310 0.115081 310 0.110533
90 416.768 0.928335 36.1897 0.654677 812.713 0.81222 33.628 0.551747 353.964 0.696145 29.8831 0.48391 875.722 0.79444 32.2354 0.575062 730 0.13294 730 0.12988
105 337.222 1.02112 29.137 0.698781 874.519 1.15369 30.3817 0.78262 292.023 1.1703 31.0676 0.767756 939.413 1.13698 26.6854 0.811011 280 0.171844 280 0.197285
120 280.091 0.146869 25.2596 0.115325 925.071 0.194288 33.1607 0.13998 242.663 0.176221 30.6789 0.120166 976.832 0.187514 32.0875 0.133466 470 0.00679569 470 0.00718899
135 229.316 1.2818 30.7687 0.823518 1005.56 1.16674 25.1876 0.948994 254.643 1.04851 26.0447 0.890568 952.422 1.33553 26.7238 0.943002 310 0.274898 310 0.259421
150 239.209 0.968843 23.1447 0.834784 977.963 1.62166 36.966 0.951185 204.504 1.24698 31.8984 0.886725 1010.69 1.63975 39.1978 1.06267 430 0.231671 430 0.238482
165 642.713 0.0481313 29.681 0.0339948 508.991 0.0339763 21.3924 0.0260439 554.864 0.0811845 34.6305 0.0631957 577.822 0.0787063 33.5813 0.0529577 3740 0.0055144 3740 0.0144548
