# angle A mu_x sigma_x alpha_x n_x mu_y sigma_y alpha_y n_y B C D chi2 reduced_chi2 integrated
0 741.0392 427.9553 90.1444 4.4735 3.4144 70.6869 56.3275 4.4735 3.4144 438.6662 -0.5665 -0.9610 5964.97 27.24 0.044105
15 194.0072 426.4952 83.7947 1.7004 3.0292 69.0349 57.6918 1.7004 3.0292 101.3519 -0.1432 -0.1924 2567.86 12.00 0.039792
30 149.0047 399.7814 80.5664 1.5869 3.0125 83.1308 64.5010 1.5869 3.0125 63.7400 -0.0747 -0.1531 4305.43 16.37 0.030312
45 238.0039 360.2980 84.0284 1.6331 3.0202 110.7269 67.7661 1.6346 3.0202 83.2978 -0.1127 -0.1324 9972.86 26.67 0.025690
60 103.0013 321.1100 84.8238 1.5184 3.0022 144.2576 69.7109 1.5203 3.0023 19.8284 -0.0234 0.0248 3737.68 11.33 0.022082
75 155.0018 270.6932 88.4149 1.5341 3.0048 187.7041 77.5398 1.5341 3.0048 37.6509 -0.0449 -0.0405 4963.04 13.90 0.024950
90 307.0042 239.6454 84.3202 1.6668 3.0232 215.4218 78.4685 1.6668 3.0232 111.6508 -0.1975 -0.1227 9395.26 22.53 0.034864
105 90.0009 217.6400 77.7669 1.5116 3.0016 238.0258 79.0619 1.5116 3.0016 17.7869 -0.0148 -0.0140 2095.25 6.51 0.020911
120 209.0019 185.6531 65.9875 1.5591 3.0082 269.6732 78.8753 1.5591 3.0082 37.8395 -0.0403 -0.0549 4861.84 13.25 0.045243
135 101.0008 193.2086 70.9841 1.5114 3.0017 274.9958 88.1714 1.5114 3.0017 12.0087 -0.0001 -0.0091 1927.61 6.26 0.020369
150 245.0018 188.2288 84.6823 1.5615 3.0079 299.4812 113.7954 1.5615 3.0079 97.3939 -0.0278 -0.2084 5284.93 12.44 0.070774
165 2243.0353 116.5334 58.0179 11.7726 4.6177 456.2955 76.2160 12.7662 4.6178 454.3159 -0.0394 -0.6333 53874.68 252.93 0.403241
