# angle amplitude amplitude_er muX muX_err sigmaX sigmaX_err muY muY_err sigmaY sigmaY_err
0 8.78823 199.175 1209.67 0.622632 49.1378 0.35453 66.824 0.000834899 16.8303 0.118915
15 1.43901 32.6135 1150 0.00748272 0.298786 40.9628 125.871 14.1423 35.3141 0.350211
30 0.889805 53.6305 554.968 0.411175 5.83591 0.338383 508.239 5.37729 78.716 10.8884
45 1.85015 95.6643 745.457 0.187741 6.0993 0.200163 550.687 0.0770639 2.49287 42.1027
60 1.23344 25.4209 594.306 1.44345 49.6799 1.02072 650 0.000290527 0.01 4.22029e-06
75 1.59319 36.1078 450 0.000276501 0.01 3.82264e-06 750 0.000276501 0.01 3.82264e-06
90 3.24779 381.107 318.868 0.717547 29.5586 0.362526 846.972 0.0710896 3.86195 0.0685651
105 1.43901 149.477 341.647 0.00391589 8.35289 0.180857 891.083 1.71927 49.1986 1.07343
120 2.41548 250.907 256.994 0.811226 41.3365 0.574229 950 0.00019608 0.01 1.92238e-06
135 1.59319 245.949 250.053 0.00204308 0.0810397 0.0025783 979.154 3.66484 145.593 33.4487
150 13.722 2188.31 550 0.000118284 0.01 6.99555e-07 518.013 0.557776 47.1469 0.394404
165 131.875 7026.67 556.157 0.0318485 7.36112 0.0262892 530.207 0.424417 104.405 24.138
