# angle mu_x1 mu_y1 mu_x2 mu_y2 chi2 red_chi2 status
0 521.61 -45.92 506.12 -31.97 298.54 1.39 OK
15 492.01 -4.09 493.80 -11.42 230.79 1.10 OK
30 410.48 64.17 461.47 30.26 235.98 0.91 OK
45 372.15 116.14 411.74 74.85 499.96 1.35 OK
60 350.06 129.83 354.41 133.44 309.21 0.95 OK
75 298.67 186.60 309.12 171.16 453.85 1.29 OK
90 -621.03 918.43 271.22 212.76 597.79 1.45 OK
105 237.19 237.86 231.28 247.75 272.96 0.86 OK
120 203.15 270.04 166.89 248.68 469.22 1.29 OK
135 194.08 246.03 192.54 290.43 260.18 0.86 OK
150 227.69 200.89 183.07 303.68 506.51 1.20 OK
165 96.47 507.06 24.17 501.91 852.33 4.08 OK
