# angle A A_err mu_x mu_x_err sigma_x sigma_x_err mu_y mu_y_err sigma_y sigma_y_err integrated integrated_err run_time
0 8.788230 199.175000 1209.670000 0.622632 49.137800 0.354530 66.824000 0.000835 16.830300 0.118915 41713.917083 833.068565 13500.000000
15 1.439010 32.613500 1150.000000 0.007483 0.298786 40.962800 125.871000 14.142300 35.314100 0.350211 88.028146 12.185766 3593.000000
30 0.889805 53.630500 554.968000 0.411175 5.835910 0.338383 508.239000 5.377290 78.716000 10.888400 2318.534462 162.974916 3605.000000
45 1.850150 95.664300 745.457000 0.187741 6.099300 0.200163 550.687000 0.077064 2.492870 42.102700 163.028550 8.526599 7200.000000
60 1.233440 25.420900 594.306000 1.443450 49.679900 1.020720 650.000000 0.000291 0.010000 0.000004 3.558796 0.033874 3600.000000
75 1.593190 36.107800 450.000000 0.000277 0.010000 0.000004 750.000000 0.000277 0.010000 0.000004 0.000907 0.000022 4813.000000
90 3.247790 381.107000 318.868000 0.717547 29.558600 0.362526 846.972000 0.071090 3.861950 0.068565 2161.170487 232.468538 7026.000000
105 1.439010 149.477000 341.647000 0.003916 8.352890 0.180857 891.083000 1.719270 49.198600 1.073430 3258.846971 400.287047 3315.000000
120 2.415480 250.907000 256.994000 0.811226 41.336500 0.574229 950.000000 0.000196 0.010000 0.000002 5.449360 0.605613 3601.000000
135 1.593190 245.949000 250.053000 0.002043 0.081040 0.002578 979.154000 3.664840 145.593000 33.448700 114.109146 18.448124 3819.000000
150 13.722000 2188.310000 550.000000 0.000118 0.010000 0.000001 518.013000 0.557776 47.146900 0.394404 38.457225 6.014291 2700.000000
165 131.875000 7026.670000 556.157000 0.031849 7.361120 0.026289 530.207000 0.424417 104.405000 24.138000 577020.828290 48649.942884 4810.000000
