# angle mu_x mu_y sigma_x sigma_y E_sum deviation  integrated
0 427.96 70.69 90.14 56.33 498.64 -12.36 0.044105
15 426.50 69.03 83.79 57.69 495.53 -15.47 0.039792
30 399.78 83.13 80.57 64.50 482.91 -28.09 0.030312
45 360.30 110.73 84.03 67.77 471.02 -39.98 0.025690
60 321.11 144.26 84.82 69.71 465.37 -45.63 0.022082
75 270.69 187.70 88.41 77.54 458.40 -52.60 0.024950
90 239.65 215.42 84.32 78.47 455.07 -55.93 0.034864
105 217.64 238.03 77.77 79.06 455.67 -55.33 0.020911
120 185.65 269.67 65.99 78.88 455.33 -55.67 0.045243
135 193.21 275.00 70.98 88.17 468.20 -42.80 0.020369
150 188.23 299.48 84.68 113.80 487.71 -23.29 0.070774
165 116.53 456.30 58.02 76.22 572.83 61.83 0.403241
